id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
5701,1946,Visa,Credit,4231526239204033,Feb-20,499,YES,2,$12500,Nov-14,2014,No
4510,1674,Mastercard,Debit,5813611925507601,Dec-20,734,YES,2,$23432,Sep-01,2008,No
2873,1674,Amex,Credit,3.66521E+14,May-22,447,YES,2,$8800,May-05,2011,No
1461,482,Mastercard,Credit,5392697458480962,Feb-20,886,YES,2,$12100,Feb-20,2020,No
442,877,Mastercard,Debit,5048151330736425,Feb-20,931,YES,1,$9708,Jan-20,2020,No
3877,877,Amex,Credit,3.71643E+14,Nov-21,683,YES,2,$12000,Jul-09,2011,No
2296,877,Mastercard,Debit,5700734711260263,Nov-23,230,YES,1,$11973,Mar-12,2012,No
5048,128,Mastercard,Debit,5389442391430673,Feb-22,658,YES,2,$13601,Oct-06,2014,No
1462,128,Mastercard,Credit,5079116875907423,Jan-24,849,YES,2,$7800,Feb-20,2020,No
4269,775,Visa,Debit,4390425683290569,Oct-23,790,YES,2,$17816,Aug-08,2016,No
5188,1536,Mastercard,Debit,5217568630125704,Mar-21,625,NO,2,$17707,Oct-10,2010,No
2874,1536,Amex,Credit,3.97857E+14,Nov-20,2,YES,1,$9500,May-05,2009,No
3041,140,Mastercard,Debit,5529182104663869,Jan-22,182,YES,1,$19110,May-10,2011,No
5312,140,Mastercard,Debit,5489017664251289,Aug-23,196,YES,1,$13428,Oct-16,2016,No
4150,140,Mastercard,Debit,5793675314684781,Jun-22,43,YES,1,$24608,Aug-05,2009,No
152,140,Mastercard,Debit,5845373196638993,Sep-22,111,YES,1,$13441,Jan-08,2011,No
443,1884,Mastercard,Debit (Prepaid),5750288075891808,Feb-20,788,YES,2,$74,Jan-20,2020,No
3377,1874,Mastercard,Debit,5429789020188285,Oct-12,674,YES,1,$17872,Jun-08,2008,No
5789,1874,Mastercard,Credit,5301114615829913,Sep-22,425,YES,1,$12900,Dec-03,2010,No
2106,1874,Mastercard,Debit,5571104183564029,May-24,52,YES,2,$25264,Mar-06,2020,No
2078,1874,Mastercard,Debit,5401948301255038,Dec-22,920,YES,2,$20634,Mar-05,2007,No
5866,1310,Visa,Credit,4295364044956974,Apr-07,656,YES,2,$12200,Dec-06,2010,No
173,1310,Visa,Credit,4737484014371342,Feb-10,221,YES,2,$5500,Jan-08,2008,No
1771,1689,Visa,Credit,4509365132510769,Mar-20,281,NO,2,$6600,Feb-20,2020,No
6132,1689,Mastercard,Debit,5068255294282305,Nov-20,890,YES,1,$25815,Dec-17,2017,No
327,379,Amex,Credit,3.54813E+14,Jun-21,527,YES,2,$8400,Jan-14,2014,No
2019,379,Mastercard,Debit,5910929635230868,Feb-20,525,YES,1,$21628,Mar-01,2008,No
3881,379,Mastercard,Debit,5400182448188961,Oct-21,412,YES,1,$24232,Jul-09,2009,No
1166,34,Mastercard,Debit,5039048842448184,Nov-23,339,YES,2,$10775,Feb-09,2010,No
3342,34,Mastercard,Debit (Prepaid),5672012369002302,Feb-20,598,YES,2,$105,Jun-07,2013,No
5622,822,Visa,Credit,4336733185475861,Jan-21,221,NO,2,$7100,Nov-10,2010,No
5424,822,Mastercard,Debit,5985582173054292,Jul-24,951,YES,1,$29351,Nov-05,2007,No
2558,822,Mastercard,Debit,5281056728185174,Mar-20,835,YES,2,$15125,Apr-08,2012,No
5385,822,Mastercard,Credit,5615660494634705,Nov-21,865,YES,2,$8000,Nov-03,2008,No
5596,822,Mastercard,Debit (Prepaid),5314878099448745,May-11,994,YES,1,$83,Nov-10,2010,No
3991,1499,Amex,Credit,3.11095E+14,Jan-24,536,YES,2,$23700,Jul-12,2012,No
6126,1780,Visa,Credit,4624747592911129,Feb-24,986,YES,2,$700,Dec-16,2016,No
3756,1806,Mastercard,Debit,5595562388674401,Jul-24,594,YES,2,$7488,Jul-06,2016,No
971,811,Visa,Credit,4171022488649333,Jan-02,225,NO,1,$24900,Feb-99,2010,No
2079,811,Mastercard,Debit,5246337038556761,Jun-21,638,YES,2,$30971,Mar-05,2020,No
387,811,Amex,Credit,3.99966E+14,Jan-24,343,YES,1,$24400,Jan-20,2020,No
444,811,Mastercard,Debit,5064137987234665,Feb-20,599,YES,2,$53549,Jan-20,2020,No
5277,811,Visa,Debit,4905540969337037,Sep-18,573,YES,1,$53036,Oct-13,2013,No
4358,811,Mastercard,Debit,5703849820939467,Dec-24,300,YES,1,$35750,Aug-11,2011,No
2318,811,Visa,Debit,4055403312631050,Jul-21,902,YES,1,$33375,Mar-13,2013,No
6019,1844,Visa,Debit (Prepaid),4587476056357151,Jul-23,858,YES,2,$22,Dec-10,2010,No
4421,1844,Discover,Credit,6521426249819196,Nov-20,608,YES,1,$13100,Aug-14,2014,No
3702,1844,Visa,Debit,4199712815274632,Oct-24,440,YES,1,$16516,Jul-03,2011,No
2854,1844,Mastercard,Credit,5172743861765175,Jul-16,906,YES,1,$15700,May-04,2011,No
4114,1844,Mastercard,Debit,5214643602729093,May-24,474,YES,1,$21058,Aug-03,2007,No
28,1852,Visa,Debit,4013876625955765,Oct-23,543,YES,2,$36425,Jan-02,2004,No
6127,1852,Visa,Debit (Prepaid),4966050979388902,Mar-21,585,YES,2,$91,Dec-16,2016,No
2477,1852,Mastercard,Credit,5247576622089394,Sep-21,379,YES,1,$13400,Apr-05,2014,No
2632,1852,Mastercard,Credit,5911319900289832,Apr-21,37,YES,2,$21600,Apr-10,2010,No
1463,1231,Mastercard,Debit,5058769177189803,Feb-20,12,NO,1,$9090,Feb-20,2020,No
5679,970,Visa,Debit,4682877628388639,Feb-23,846,NO,1,$25942,Nov-12,2012,No
1012,970,Mastercard,Credit,5882842508952744,Jul-19,614,YES,2,$10700,Feb-03,2013,No
1464,970,Mastercard,Credit,5637149260486793,Jul-22,630,YES,2,$4900,Feb-20,2020,No
1465,381,Mastercard,Credit,5115700923413241,Apr-22,587,NO,1,$18100,Feb-20,2020,No
388,1134,Amex,Credit,3.2464E+14,Mar-24,659,YES,2,$7200,Jan-20,2020,No
3708,1296,Mastercard,Debit,5033428838471726,Feb-20,546,YES,2,$22660,Jul-04,2007,No
3087,1296,Discover,Credit,6969946254132652,Dec-22,588,YES,1,$19800,May-11,2011,No
67,1296,Mastercard,Credit,5181226307106931,Nov-24,820,YES,2,$15500,Jan-05,2014,No
80,1296,Visa,Debit (Prepaid),4310689470082080,Jun-23,458,YES,1,$13,Jan-05,2008,No
3665,1296,Mastercard,Debit,5051066154001741,Jun-21,526,YES,2,$4317,Jul-01,2011,No
2014,1880,Mastercard,Debit,5456915066505066,Dec-21,553,NO,1,$14719,Mar-00,2008,No
4906,1880,Mastercard,Debit,5132664334960880,May-21,593,YES,1,$9532,Sep-17,2017,No
3757,1880,Mastercard,Credit,5752873844240568,Mar-20,486,YES,1,$10900,Jul-06,2014,No
5365,322,Mastercard,Credit,5494228198326752,Sep-24,428,YES,2,$6200,Nov-01,2012,No
5425,322,Mastercard,Debit,5789639625525459,Dec-12,43,YES,2,$2903,Nov-05,2011,No
5758,322,Mastercard,Debit,5392957769023387,Oct-20,803,YES,2,$4355,Dec-99,2010,No
5482,461,Mastercard,Debit,5182820825620434,Apr-21,126,YES,1,$28963,Nov-07,2012,No
3172,461,Mastercard,Debit,5102353988152905,Dec-22,667,YES,2,$20913,May-16,2016,No
1209,461,Mastercard,Debit,5033135709911480,Jul-24,170,YES,1,$23344,Feb-10,2010,No
5313,461,Mastercard,Debit,5611522756791997,Jan-20,882,YES,2,$33642,Oct-16,2016,No
4762,1165,Mastercard,Debit,5037404409791945,Jan-22,681,YES,1,$14695,Sep-10,2011,No
126,1448,Mastercard,Credit,5571363047071896,Sep-23,510,YES,1,$13200,Jan-07,2015,No
4685,1448,Visa,Debit,4083033843851772,Jan-20,173,YES,1,$29950,Sep-08,2013,No
5907,1448,Visa,Credit,4829916759482899,Jul-24,768,YES,2,$4600,Dec-07,2011,No
2428,1288,Mastercard,Debit,5458492483408549,Dec-22,92,YES,1,$10051,Apr-02,2011,No
1013,1288,Mastercard,Debit,5879094230635425,Dec-15,729,YES,2,$9796,Feb-03,2013,No
5145,1178,Mastercard,Debit,5769435406360328,Oct-21,957,YES,1,$17826,Oct-09,2009,No
5854,1178,Mastercard,Debit,5588799529406913,Nov-24,778,YES,1,$19086,Dec-06,2009,No
5296,1178,Visa,Debit,4410685608952637,Jun-24,265,YES,2,$17345,Oct-14,2014,No
1327,1178,Visa,Debit,4470822684089911,Sep-20,923,YES,2,$17976,Feb-13,2013,No
383,1178,Visa,Debit,4804338444306727,Jan-22,279,YES,2,$16447,Jan-19,2019,No
5129,1391,Visa,Debit,4194362281636453,Oct-24,271,YES,2,$29573,Oct-08,2009,No
5995,1391,Mastercard,Debit (Prepaid),5436469451844829,Dec-21,48,YES,2,$98,Dec-10,2010,No
4107,1391,Mastercard,Debit,5648865641388293,Aug-19,71,YES,2,$2559,Aug-02,2012,No
36,1391,Mastercard,Debit,5914243757284149,Oct-12,436,YES,2,$6552,Jan-03,2010,No
445,838,Mastercard,Credit,5193780952753626,Jan-21,591,YES,2,$13800,Jan-20,2020,No
1466,54,Mastercard,Debit,5957925302951752,Aug-20,746,YES,1,$16375,Feb-20,2020,No
749,54,Visa,Debit,4557061225558443,May-23,780,YES,1,$14213,Jan-20,2020,No
1772,54,Visa,Debit (Prepaid),4883222888293069,Sep-20,2,YES,1,$73,Feb-20,2020,No
3801,1452,Mastercard,Debit,5476407228285230,Nov-22,688,YES,2,$53466,Jul-07,2013,No
282,1602,Visa,Credit,4698943729070491,Sep-20,450,YES,1,$6600,Jan-11,2013,No
6105,1602,Mastercard,Credit,5579147219556308,Jun-22,806,NO,2,$7200,Dec-15,2015,No
446,1938,Mastercard,Debit,5099614207935768,Nov-20,856,YES,1,$2868,Jan-20,2020,No
422,1938,Discover,Credit,6177503172021506,May-24,97,YES,1,$3400,Jan-20,2020,No
5231,1492,Mastercard,Debit,5188130978534931,Jan-22,446,YES,1,$12915,Oct-11,2013,No
2615,1492,Visa,Debit (Prepaid),4860320285002452,Dec-23,366,YES,2,$84,Apr-09,2017,No
2776,1492,Discover,Credit,6417599205270844,Jul-21,504,YES,2,$17600,Apr-18,2018,No
5452,1492,Mastercard,Debit,5516722949603675,Dec-12,621,YES,1,$31542,Nov-06,2009,No
3563,1492,Mastercard,Debit,5891053637541514,Feb-22,362,YES,2,$23049,Jun-13,2013,No
6134,1492,Visa,Debit,4222570131769035,May-20,141,YES,1,$29734,Dec-17,2017,No
4818,1492,Visa,Credit,4453742478192143,Jan-20,346,YES,2,$27000,Sep-11,2016,No
2171,1492,Mastercard,Debit (Prepaid),5335984658439104,Nov-22,320,YES,1,$18,Mar-08,2010,No
6106,688,Mastercard,Debit,5708150083756692,Apr-23,824,YES,1,$17848,Dec-15,2015,No
3042,688,Mastercard,Debit,5238684130320063,Nov-22,870,NO,1,$25563,May-10,2010,No
5209,688,Visa,Credit,4740880792169372,Apr-20,168,YES,2,$12000,Oct-10,2010,No
1296,688,Amex,Credit,3.61649E+14,Nov-18,709,NO,2,$6600,Feb-12,2012,No
389,749,Amex,Credit,3.63306E+14,Sep-23,943,NO,1,$5600,Jan-20,2020,No
1773,749,Visa,Debit,4360859456629853,Nov-22,428,YES,3,$11873,Feb-20,2020,No
1467,749,Mastercard,Credit,5498016831726771,Feb-20,871,YES,1,$7200,Feb-20,2020,No
1395,643,Amex,Credit,3.81573E+14,Aug-24,145,YES,1,$10000,Feb-20,2020,No
5597,643,Mastercard,Credit,5079302523329059,Apr-23,381,YES,2,$500,Nov-10,2010,No
1468,1219,Mastercard,Debit,5546998350637125,Feb-20,718,YES,1,$22697,Feb-20,2020,No
2309,1219,Mastercard,Credit,5326031764905960,Aug-23,437,YES,1,$18000,Mar-13,2013,No
3466,1219,Mastercard,Debit,5096150037217374,Oct-24,862,YES,1,$32903,Jun-10,2010,No
2804,1198,Visa,Debit,4489873116412364,Aug-21,547,YES,2,$12764,May-99,2010,No
1388,1198,Mastercard,Credit,5621725368325863,Oct-22,60,YES,1,$6300,Feb-19,2019,No
4660,898,Mastercard,Debit,5923138803280580,Feb-22,934,YES,2,$7541,Sep-08,2013,No
3356,898,Visa,Debit,4447989421793048,Mar-22,995,YES,2,$1266,Jun-07,2012,No
4870,898,Mastercard,Credit,5000307662634780,Apr-20,263,NO,1,$9500,Sep-14,2014,No
3467,882,Mastercard,Debit,5707305515533516,Apr-20,203,YES,2,$1837,Jun-10,2010,No
1079,882,Mastercard,Debit,5864987017850552,Aug-23,258,YES,2,$17453,Feb-06,2008,No
2977,348,Visa,Debit,4228885239928189,Oct-13,543,NO,1,$28283,May-08,2012,No
3073,348,Visa,Credit,4210237285941913,Apr-20,160,YES,1,$13500,May-10,2012,No
3554,348,Visa,Credit,4877073763902898,Jul-14,786,YES,2,$13300,Jun-12,2012,No
2597,633,Mastercard,Debit,5558040779986506,Sep-21,69,YES,2,$17941,Apr-09,2009,No
3489,1493,Visa,Credit,4642496218651973,Apr-18,594,YES,1,$14400,Jun-10,2012,No
4003,1493,Visa,Credit,4244401907291512,Apr-20,120,YES,1,$4400,Jul-12,2012,No
1469,1493,Mastercard,Credit,5157439545898691,Mar-20,657,YES,1,$13000,Feb-20,2020,No
1774,1493,Visa,Debit,4079516725179269,Apr-23,72,YES,2,$22701,Feb-20,2020,No
1470,1161,Mastercard,Credit,5597117503471640,Aug-24,934,NO,1,$16100,Feb-20,2020,No
1471,1161,Mastercard,Debit,5808372218918202,Sep-23,138,YES,2,$7629,Feb-20,2020,No
2691,217,Mastercard,Debit,5565497732362129,Mar-22,430,NO,1,$16538,Apr-12,2012,No
174,217,Visa,Debit,4072893581482208,Dec-20,578,YES,2,$22746,Jan-08,2010,No
1364,217,Mastercard,Debit,5161929618424764,Jul-16,743,YES,1,$9737,Feb-16,2016,No
1266,217,Mastercard,Credit,5359358098670039,Jul-19,428,YES,1,$6500,Feb-11,2014,No
1267,217,Mastercard,Debit,5093514487076217,Jun-20,889,YES,2,$2650,Feb-11,2013,No
207,217,Visa,Credit,4409790595650716,May-12,839,YES,2,$8200,Jan-09,2011,No
5448,217,Amex,Credit,3.73326E+14,Jan-22,204,YES,2,$6200,Nov-06,2013,No
5449,1877,Amex,Credit,3.66837E+14,Jan-21,803,YES,2,$22600,Nov-06,2014,No
2107,1877,Mastercard,Debit,5260255791659846,May-24,428,YES,2,$6940,Mar-06,2009,No
2398,1877,Mastercard,Debit,5911939393457828,Mar-24,410,YES,2,$23408,Apr-96,2008,No
5414,1877,Visa,Credit,4226284680001632,Sep-22,966,YES,2,$9700,Nov-04,2007,No
3758,668,Mastercard,Debit,5624997997810589,Jun-24,992,NO,2,$10538,Jul-06,2006,No
4097,668,Mastercard,Debit,5752209560237460,Mar-23,385,YES,2,$6853,Aug-01,2006,No
5778,668,Mastercard,Debit,5470018669871087,Oct-20,598,YES,2,$607,Dec-02,2010,No
4318,668,Mastercard,Credit,5764603958082866,Aug-21,397,YES,1,$0,Aug-10,2010,No
5015,668,Visa,Debit,4378354586828464,Jun-21,644,YES,2,$8253,Oct-04,2011,No
750,533,Visa,Debit,4415203972868492,Sep-20,847,YES,2,$8492,Jan-20,2020,No
242,203,Visa,Credit,4716309780327853,Jul-22,275,YES,1,$9100,Jan-10,2010,No
3966,203,Mastercard,Credit,5175414290540891,Apr-22,497,NO,2,$2600,Jul-11,2011,No
5375,203,Mastercard,Credit,5079431552272493,May-24,813,NO,1,$7300,Nov-02,2010,No
5166,1738,Visa,Credit,4841586209388617,Aug-20,207,YES,1,$15000,Oct-09,2009,No
1472,1738,Mastercard,Credit,5133341979041600,Apr-24,497,YES,2,$18700,Feb-20,2020,No
751,1738,Visa,Debit,4044685132149960,May-21,579,YES,1,$21458,Jan-20,2020,No
5623,1738,Visa,Credit,4825181289428263,Apr-20,635,NO,1,$15700,Nov-10,2014,No
6099,713,Mastercard,Debit,5533057740649374,Jan-20,13,YES,2,$20765,Dec-14,2014,No
1473,713,Mastercard,Debit,5137811039972629,Jun-22,170,NO,2,$18101,Feb-20,2020,No
1775,713,Visa,Credit,4409545480052957,Nov-24,528,YES,1,$8400,Feb-20,2020,No
447,713,Mastercard,Debit,5169705466479218,Mar-20,66,YES,1,$1737,Jan-20,2020,No
1474,1631,Mastercard,Credit,5782138554730431,Feb-20,217,YES,2,$20900,Feb-20,2020,No
1776,1631,Visa,Credit,4450097042295695,Nov-21,601,YES,1,$23700,Feb-20,2020,No
448,1631,Mastercard,Credit,5298079382002761,Nov-21,989,YES,1,$17500,Jan-20,2020,No
5978,1487,Visa,Debit,4911894810892317,Jun-24,769,YES,1,$26083,Dec-09,2009,No
2978,1487,Visa,Debit,4394014058373538,Oct-22,943,YES,1,$31589,May-08,2008,No
4946,1487,Visa,Credit,4984110253172329,Jun-21,453,YES,2,$24200,Oct-00,2013,No
1475,1265,Mastercard,Debit,5658875071888530,Feb-20,190,YES,2,$18321,Feb-20,2020,No
5376,370,Mastercard,Debit,5377126168537132,Oct-22,94,YES,2,$7551,Nov-02,2010,No
4127,370,Mastercard,Debit,5606824501502078,Jun-14,451,YES,1,$15377,Aug-04,2011,No
5093,370,Visa,Debit,4501704511432206,Mar-23,324,YES,1,$12990,Oct-07,2016,No
3490,370,Visa,Debit,4015096339812707,Feb-23,494,YES,1,$8509,Jun-10,2010,No
5702,1014,Visa,Debit,4467199760802877,Nov-14,176,YES,1,$96907,Nov-14,2014,No
2200,1014,Visa,Credit,4081474027835147,Jul-15,45,YES,1,$43900,Mar-08,2013,No
5436,1014,Visa,Debit (Prepaid),4868297041449163,Oct-20,440,YES,2,$76,Nov-05,2007,No
449,290,Mastercard,Debit,5843714671989158,Jan-20,533,YES,2,$50915,Jan-20,2020,No
1777,290,Visa,Debit,4052306795072868,Dec-21,369,YES,2,$31767,Feb-20,2020,No
3862,985,Visa,Credit,4229889369220690,Apr-24,82,YES,2,$13200,Jul-08,2010,No
1268,985,Mastercard,Credit,5936949471946678,Oct-22,372,YES,2,$16000,Feb-11,2012,No
752,985,Visa,Debit,4748458102584203,Jul-24,223,YES,2,$18132,Jan-20,2020,No
2704,985,Visa,Credit,4862788591864799,Feb-19,466,YES,1,$300,Apr-12,2012,No
2808,135,Mastercard,Debit,5736838327060448,Nov-22,714,YES,2,$2236,May-00,2015,No
4791,135,Visa,Debit,4528854599819268,Aug-19,451,YES,2,$21591,Sep-10,2010,No
1476,307,Mastercard,Debit,5956798767354537,Apr-20,927,YES,2,$11521,Feb-20,2020,No
753,307,Visa,Credit,4949830998579625,Jun-20,561,NO,1,$8600,Jan-20,2020,No
4112,1783,Amex,Credit,3.23782E+14,Mar-20,659,YES,1,$9800,Aug-03,2010,No
1154,1783,Visa,Credit,4172882144788973,Mar-12,902,YES,2,$11300,Feb-08,2009,No
2598,1783,Mastercard,Credit,5153494647482349,Oct-19,492,YES,1,$8400,Apr-09,2011,No
10,1783,Mastercard,Debit,5513208341097350,Dec-23,789,YES,1,$16597,Jan-99,2009,No
4655,1783,Amex,Credit,3.16139E+14,Sep-20,876,YES,2,$9400,Sep-08,2008,No
5908,1321,Visa,Debit,4709941855155413,Dec-08,122,YES,1,$18702,Dec-07,2007,No
3357,1511,Visa,Debit,4725438629956463,Jun-22,675,YES,1,$24806,Jun-07,2007,No
5502,1511,Visa,Debit,4992990568824247,May-23,457,YES,1,$19856,Nov-07,2011,No
1238,900,Visa,Debit (Prepaid),4580252759299284,Feb-21,397,YES,2,$68,Feb-10,2010,No
3412,900,Amex,Credit,3.47103E+14,Dec-22,791,YES,2,$4900,Jun-09,2009,No
1477,953,Mastercard,Debit,5779387577644606,Feb-22,421,YES,1,$13390,Feb-20,2020,No
1396,953,Amex,Credit,3.43259E+14,Nov-24,210,YES,3,$8400,Feb-20,2020,No
1297,233,Amex,Credit,3.74396E+14,Mar-24,659,YES,2,$13700,Feb-12,2012,No
3605,406,Discover,Credit,6308795344040919,Nov-24,205,YES,2,$4200,Jun-16,2016,No
5167,1069,Visa,Debit,4439832703761219,Aug-20,424,YES,2,$2292,Oct-09,2015,No
3922,1069,Amex,Credit,3.04372E+14,Mar-21,495,YES,1,$8800,Jul-10,2010,No
5453,180,Mastercard,Credit,5881384408371205,Mar-23,312,NO,2,$7600,Nov-06,2009,No
2888,180,Visa,Credit,4966727954053977,Nov-21,756,YES,2,$6200,May-05,2018,No
3208,996,Mastercard,Credit,5784959743819578,Jul-23,348,YES,1,$12900,Jun-99,2011,No
4661,996,Mastercard,Debit,5617375085275816,Jun-22,228,YES,2,$18820,Sep-08,2015,No
